Zeitpunkt ('Y-m-d H:i:s');Graf-Moltke-Straße (Ostseite);Graf-Moltke-Straße (Westseite);Hastedter Brückenstraße;Langemarckstraße (Ostseite);Langemarckstraße (Westseite);Osterdeich;Radweg Kleine Weser;Schwachhauser Ring;Wachmannstraße auswärts (Süd);Wachmannstraße einwärts (Nord);Wilhelm-Kaisen-Brücke (Ost);Wilhelm-Kaisen-Brücke (West)
01.01.2013 00:00;261;290;381;312;308;870;410;391;514;267;1228;563
02.01.2013 00:00;554;640;1209;1224;1088;1847;1754;733;1784;1474;3569;2267
03.01.2013 00:00;602;688;1066;1199;1098;1793;1680;737;1715;1351;3484;2222
04.01.2013 00:00;741;796;1217;1297;1110;2003;1857;842;1903;1585;4003;2496
05.01.2013 00:00;602;687;916;928;752;1621;1362;743;1318;1095;3139;1786
06.01.2013 00:00;496;497;680;549;522;1700;970;695;845;646;2291;1031
07.01.2013 00:00;937;1094;2019;1877;1876;3008;2999;1322;2810;2304;5619;3526
08.01.2013 00:00;835;954;1600;1598;1569;2723;2631;1086;2287;1850;4871;3002
09.01.2013 00:00;852;974;1612;1557;1504;2659;2511;1130;2279;1818;4878;2797
10.01.2013 00:00;919;1034;1622;1672;1642;2690;2588;1080;2354;1905;5387;3002
11.01.2013 00:00;965;1077;1718;1697;1555;2702;2625;1093;2376;2028;5517;3200
12.01.2013 00:00;664;739;1073;965;900;1935;1501;949;1460;1176;3386;1978
13.01.2013 00:00;408;490;671;521;501;1351;850;629;772;511;2110;1127
14.01.2013 00:00;573;644;1310;1091;1089;1937;1556;874;1554;1207;3482;2052
15.01.2013 00:00;615;655;1343;1169;1156;2047;1466;772;1556;1251;3678;2105
16.01.2013 00:00;708;809;1425;1273;1188;2532;1588;848;1769;1361;4024;2312
17.01.2013 00:00;827;889;1514;1370;1366;2685;1626;950;1993;1652;4200;2511
18.01.2013 00:00;743;805;1400;1281;1251;2452;1608;880;1784;1508;3943;2318
19.01.2013 00:00;543;696;854;724;626;1696;681;596;998;818;2640;1322
20.01.2013 00:00;375;390;562;433;445;1072;546;583;579;440;1781;914
21.01.2013 00:00;416;454;1109;911;940;1626;1166;662;1266;1075;2837;1746
22.01.2013 00:00;300;314;924;688;728;1629;338;686;970;728;2218;1317
23.01.2013 00:00;414;466;1034;839;859;1973;384;713;1181;939;2679;1611
24.01.2013 00:00;461;578;1184;995;1024;2306;377;751;1458;1163;3313;1889
25.01.2013 00:00;467;557;1208;968;875;2286;405;744;1335;1097;3225;1845
26.01.2013 00:00;273;290;561;431;434;964;172;423;710;553;1656;912
27.01.2013 00:00;208;216;283;259;314;706;133;243;372;250;1118;538
28.01.2013 00:00;726;803;1279;1252;1177;3112;879;816;1840;1472;4267;2471
29.01.2013 00:00;892;967;1681;1566;1487;2915;2102;1169;2395;1896;5275;3020
30.01.2013 00:00;756;859;1251;1242;1167;2191;1930;882;1821;1477;4082;2471
31.01.2013 00:00;780;832;1081;1312;1179;2029;1764;883;1896;1503;4060;2536
01.02.2013 00:00;750;876;1109;1258;1120;2169;1762;829;1786;1456;4024;2355
02.02.2013 00:00;626;674;880;894;756;1752;1411;684;1465;1154;3512;1918
03.02.2013 00:00;359;389;517;480;449;971;724;641;662;524;1760;984
04.02.2013 00:00;716;845;1291;1285;1279;2252;2106;920;1939;1568;4156;2645
05.02.2013 00:00;595;663;1084;1051;1055;2112;1628;742;1540;1185;3478;1983
06.02.2013 00:00;818;881;1533;1437;1374;2405;2140;967;2101;1686;4617;2830
07.02.2013 00:00;867;934;1461;1553;1400;2573;2080;1080;2203;1844;4556;2732
08.02.2013 00:00;771;896;1409;1526;1275;2235;2075;969;2026;1735;4565;2756
09.02.2013 00:00;534;608;777;816;698;1491;1027;704;1153;934;2611;1467
10.02.2013 00:00;428;442;818;570;565;1469;1093;798;807;581;2130;1143
11.02.2013 00:00;818;893;1715;1549;1417;2191;2318;1033;2316;1868;4461;2875
12.02.2013 00:00;895;989;1648;1562;1470;2392;2350;1081;2298;1910;4701;2846
13.02.2013 00:00;872;988;1616;1587;1503;2479;2368;1190;2306;1855;4808;2907
14.02.2013 00:00;928;999;1582;1665;1538;2294;2366;1096;2397;1946;4775;3007
15.02.2013 00:00;659;672;1193;1188;1134;1991;1568;782;1553;1326;3745;2136
16.02.2013 00:00;635;777;959;778;664;2158;1151;727;1223;966;3306;1489
17.02.2013 00:00;422;472;714;570;555;1223;1007;718;894;634;2107;1154
18.02.2013 00:00;944;1057;1914;1761;1536;2571;2677;1236;2608;2127;5223;2733
19.02.2013 00:00;914;956;1504;1529;1447;2438;2434;966;2284;1811;5014;2734
20.02.2013 00:00;882;977;1647;1601;1480;2428;2390;1220;2274;1911;4980;2783
21.02.2013 00:00;934;1038;1659;1604;1541;2453;2207;1090;2438;1975;4834;2926
22.02.2013 00:00;728;851;1242;1310;1192;1913;1816;818;1761;1475;4121;2422
23.02.2013 00:00;522;591;705;813;640;1337;859;573;1088;877;2625;1502
24.02.2013 00:00;314;313;417;420;416;938;483;342;605;396;1592;737
25.02.2013 00:00;854;960;1539;1485;1476;2167;2399;1034;2329;1929;4700;2949
26.02.2013 00:00;953;1080;1706;1503;1596;2583;2686;1221;2525;2082;5292;3109
27.02.2013 00:00;943;1080;1739;1595;1582;2499;2655;1263;2602;2063;5283;3059
28.02.2013 00:00;925;1057;1756;1630;1671;2536;2419;1189;2486;2019;5249;3120
01.03.2013 00:00;931;1015;1603;1556;1480;2295;2287;1196;2412;2035;5013;3028
02.03.2013 00:00;672;920;1169;945;797;2351;1321;797;1412;1131;3826;1903
03.03.2013 00:00;492;501;1106;726;650;1737;1445;1140;1002;761;2583;1262
04.03.2013 00:00;991;1197;2254;1863;1748;2742;3033;1405;2828;2300;5621;3525
05.03.2013 00:00;1155;1317;2723;2100;1967;3313;3640;1811;3251;2670;6386;3891
06.03.2013 00:00;1129;1335;2726;2347;2021;3578;3751;1744;3234;2670;6646;4051
07.03.2013 00:00;1071;1238;2214;2124;1896;2909;2943;1533;3086;2549;5903;3656
08.03.2013 00:00;770;867;1284;1338;1193;1939;2026;940;1964;1545;4422;2566
09.03.2013 00:00;382;423;426;493;497;918;693;421;716;571;1964;1055
10.03.2013 00:00;200;180;272;316;282;707;184;292;432;290;1248;615
11.03.2013 00:00;597;675;1102;985;960;1555;634;624;1411;1151;2838;1691
12.03.2013 00:00;729;810;1449;1396;1278;2275;742;984;2047;1652;4016;2476
13.03.2013 00:00;729;872;1429;1323;1270;2301;840;867;1954;1578;4109;2441
14.03.2013 00:00;799;879;1487;1387;1309;2386;1138;924;2104;1748;4170;2387
15.03.2013 00:00;786;917;1552;1575;1456;2228;1794;1021;2120;1723;4611;2651
16.03.2013 00:00;618;722;974;790;590;1912;837;551;1056;804;2935;1450
17.03.2013 00:00;257;258;317;366;374;647;459;335;534;335;1345;725
18.03.2013 00:00;633;691;1118;1264;1134;1863;1398;852;1725;1394;3631;2256
19.03.2013 00:00;732;849;1305;1453;1285;1933;1955;926;2032;1603;4256;2627
20.03.2013 00:00;742;817;1260;1365;1311;1938;1881;896;2017;1614;4265;2532
21.03.2013 00:00;709;789;1326;1406;1236;1959;1908;862;1907;1539;4116;2458
22.03.2013 00:00;696;746;1279;1377;1187;1694;1704;862;1868;1524;4054;2409
23.03.2013 00:00;431;460;576;751;632;882;728;503;979;806;2324;1310
24.03.2013 00:00;333;328;530;451;468;753;596;580;724;465;1568;851
25.03.2013 00:00;676;751;1176;1374;1155;1513;1602;837;1945;1600;3702;2377
26.03.2013 00:00;711;786;1264;1399;1235;1843;1871;881;2097;1769;4187;2603
27.03.2013 00:00;709;799;1386;1459;1314;1921;1984;864;2034;1728;4369;2639
28.03.2013 00:00;648;740;1133;1294;1128;1730;1587;727;1789;1483;3888;2304
29.03.2013 00:00;357;346;515;392;364;780;649;512;647;442;1632;764
30.03.2013 00:00;441;542;742;681;566;1273;919;525;1089;867;2484;1291
31.03.2013 00:00;353;353;679;440;342;956;769;655;634;441;1567;793
01.04.2013 00:00;500;587;1284;703;626;1640;1548;1418;964;702;2382;1121
02.04.2013 00:00;926;1092;2143;1774;1570;2606;2802;1349;2756;2279;5526;3417
03.04.2013 00:00;1069;1200;2432;2073;1812;2816;3240;1531;3029;2489;6187;3539
04.04.2013 00:00;1050;1233;2138;2032;1803;2947;2999;1412;2993;2448;6221;3644
05.04.2013 00:00;949;1052;1837;1748;1608;2555;2660;1244;2557;2189;5542;3378
06.04.2013 00:00;860;1020;1896;1230;1025;3312;1936;1331;1914;1618;4887;2288
07.04.2013 00:00;685;780;1708;1111;903;2487;2137;1465;1642;1232;3738;2135
08.04.2013 00:00;1127;1281;2483;2271;2061;3082;3493;1698;3301;2729;6658;3990
09.04.2013 00:00;1174;1267;2230;2204;2001;2987;3284;1544;3210;2637;6290;3828
10.04.2013 00:00;1007;1053;1913;1821;1694;2711;2952;1303;2627;2166;5577;3386
11.04.2013 00:00;857;963;70;1503;1458;2504;2395;1114;2169;1761;4676;2761
12.04.2013 00:00;985;1180;92;1976;1693;2893;3094;1400;2661;2290;5728;3466
13.04.2013 00:00;681;805;12;1125;897;2095;1660;1124;1608;1302;3856;2047
14.04.2013 00:00;714;792;44;1120;997;2305;2357;1809;1389;998;3467;1778
15.04.2013 00:00;1183;1420;44;2654;2314;3714;4553;2077;3689;2990;7354;4203
16.04.2013 00:00;1305;1482;15;2821;2501;3990;4482;2221;3871;3203;7744;4068
17.04.2013 00:00;1321;1528;8;2826;2489;4133;4729;2252;3921;3245;8098;4758
18.04.2013 00:00;1319;1553;34;2791;2412;3620;4097;2036;3709;3086;7634;4420
19.04.2013 00:00;1071;1245;25;2274;1998;3013;3369;1573;3087;2617;6669;3729
20.04.2013 00:00;963;1160;8;1528;1186;3781;2407;1478;1974;1636;5411;2632
21.04.2013 00:00;879;938;11;1429;1302;2805;3297;2389;1715;1205;4338;2211
22.04.2013 00:00;1316;1498;10;2763;2443;3814;4546;2136;3548;3090;7406;4418
23.04.2013 00:00;1257;1439;17;2547;2264;3469;4009;1812;3467;2925;7181;4192
24.04.2013 00:00;1326;1476;26;2835;2547;4161;4821;2398;3795;3169;8054;4791
25.04.2013 00:00;1389;1565;11;2882;2589;4163;4559;2393;3904;3275;8220;4109
26.04.2013 00:00;898;905;0;1664;1503;2489;2700;1149;2260;1865;5244;2453
27.04.2013 00:00;725;887;0;1449;1071;2407;1951;1161;1886;1591;4338;2342
28.04.2013 00:00;742;771;0;1276;1148;2595;2389;1680;1533;1109;3660;1930
29.04.2013 00:00;1136;1294;0;2524;2282;3091;3838;1751;3328;2730;6900;3974
30.04.2013 00:00;1373;1656;0;2985;2438;4143;4387;2055;3822;3325;8197;4930
01.05.2013 00:00;1013;1011;0;1856;1621;4128;4256;3075;2065;1377;5736;3221
02.05.2013 00:00;1291;1489;0;2779;2394;3895;4148;1951;3708;3057;7335;4512
03.05.2013 00:00;1245;1452;0;2779;2409;4176;4419;1995;3426;3008;7619;4469
04.05.2013 00:00;1171;1442;0;2354;1871;5728;4498;1939;2814;2261;7275;3720
05.05.2013 00:00;965;1021;0;1815;1693;3769;4514;2960;2071;1487;5125;2787
06.05.2013 00:00;1479;1706;0;3386;2916;4697;5492;2551;4263;3462;8748;5238
07.05.2013 00:00;1310;1517;0;3188;2705;4020;4617;2215;3762;3123;7742;4698
08.05.2013 00:00;1369;1592;0;2992;2551;4164;4359;2162;3722;3100;7917;4680
09.05.2013 00:00;820;866;0;1821;1479;3295;3242;2194;1664;1221;4586;2576
10.05.2013 00:00;895;1125;0;2107;1788;2974;2944;1349;2688;2216;5699;3446
11.05.2013 00:00;930;1085;0;1627;1209;4006;2304;1293;1904;1539;5233;2579
12.05.2013 00:00;559;568;0;1009;968;1661;1717;1100;1225;765;2795;1541
13.05.2013 00:00;1049;1195;0;2238;1971;3016;3352;1515;2997;2428;6131;3610
14.05.2013 00:00;1281;1415;0;2671;2313;3624;4106;1881;3521;3010;7393;4546
15.05.2013 00:00;1324;1452;0;2807;2485;3804;4354;1998;3826;3007;7692;4561
16.05.2013 00:00;1392;1566;0;2897;2611;4063;4607;2154;3825;3188;8180;4664
17.05.2013 00:00;1120;1319;0;2504;2086;3262;3674;1643;3108;2704;6475;3991
18.05.2013 00:00;483;540;0;841;695;1408;1014;619;1017;762;2518;1448
19.05.2013 00:00;671;746;0;1376;1085;2362;2698;1978;1316;1139;3536;1993
20.05.2013 00:00;479;567;0;1018;792;1852;1688;1194;1165;774;2761;1465
21.05.2013 00:00;984;1061;0;2040;1648;1532;3119;1369;2601;2232;5476;3422
22.05.2013 00:00;930;1048;0;1869;1654;16;2685;1231;2451;1988;5190;3036
23.05.2013 00:00;915;1049;0;1902;1813;0;3079;1254;2506;2154;5427;3126
24.05.2013 00:00;1028;1244;0;2199;1955;0;3646;1594;3032;2598;6368;3577
25.05.2013 00:00;632;682;0;1073;791;0;1504;780;1362;1113;3353;1911
26.05.2013 00:00;447;460;0;696;591;0;1140;768;856;606;2230;1041
27.05.2013 00:00;791;921;0;1498;1354;0;2414;969;1978;1651;4333;2462
28.05.2013 00:00;1348;1463;0;2844;2430;0;4942;2220;3812;3162;7810;4666
29.05.2013 00:00;1183;1330;0;2516;2110;0;3925;1737;3282;2694;7027;4078
30.05.2013 00:00;1322;1482;0;2964;2488;0;4300;1936;3781;3155;7641;4297
31.05.2013 00:00;1337;1519;0;3091;2593;0;5108;2388;4392;3344;8404;4706
01.06.2013 00:00;819;905;0;1602;1215;0;1891;1181;2023;1601;4456;2477
02.06.2013 00:00;658;757;0;1222;1188;0;2286;1838;1550;1176;3616;2009
03.06.2013 00:00;1273;1479;0;2822;2494;0;2314;2062;4172;3232;7134;4614
04.06.2013 00:00;1421;1656;0;3280;2909;0;2328;2439;4945;3617;8433;5050
05.06.2013 00:00;1476;1682;0;3295;2944;0;3642;2775;4730;3644;8933;5229
06.06.2013 00:00;1518;1787;0;3795;3280;0;6104;2940;5100;3836;9554;5684
07.06.2013 00:00;1466;1804;0;3589;3020;0;6136;3022;4763;3599;9355;5473
08.06.2013 00:00;1135;1304;0;2427;1953;0;4879;2339;3217;2446;7314;4029
09.06.2013 00:00;888;886;0;1672;1537;0;3721;2366;2044;1325;5032;2423
10.06.2013 00:00;1434;1656;0;3266;2845;0;5247;2541;4574;3507;8510;5294
11.06.2013 00:00;1548;1773;2525;3565;3096;2582;5729;2629;4598;3815;9082;5745
12.06.2013 00:00;1380;1533;3956;3215;2838;4347;5154;0;4164;3494;8571;5176
13.06.2013 00:00;1160;1360;2670;2322;2098;3745;3554;0;2910;2505;6425;3922
14.06.2013 00:00;1229;1493;3281;2832;2323;3948;4290;0;3785;3144;8229;4924
15.06.2013 00:00;947;1063;2552;1999;1538;3495;3530;0;2914;2491;6508;3754
16.06.2013 00:00;783;847;2514;1560;1386;3116;3541;0;2467;1751;5397;3196
17.06.2013 00:00;1449;1699;4350;3409;3061;4849;5922;0;4957;3774;8907;5606
18.06.2013 00:00;1671;1914;5395;3668;3107;5816;7227;0;4928;3864;9642;5993
19.06.2013 00:00;1413;1634;4684;3308;2787;5403;6040;0;4289;3473;8855;5415
20.06.2013 00:00;1216;1320;3300;2752;2273;4052;4577;0;3944;2936;7192;4431
21.06.2013 00:00;865;1003;1736;1776;1444;2530;2604;0;2224;1790;4979;3138
22.06.2013 00:00;877;992;2246;1748;1377;2940;2929;0;2474;2064;5147;3330
23.06.2013 00:00;744;794;2102;1229;1123;2561;2346;0;1728;1277;3853;2146
24.06.2013 00:00;1259;1459;3265;2666;2363;3716;4098;0;3477;2912;7130;4754
25.06.2013 00:00;1305;1502;3275;2778;2342;4267;4203;0;3845;3198;7706;5151
26.06.2013 00:00;1329;1602;3116;2868;2387;4103;4176;0;3779;3163;7660;5120
27.06.2013 00:00;1091;1224;2192;2154;1865;3245;3175;0;3050;2436;6071;3997
28.06.2013 00:00;834;973;1698;1756;1563;2596;2405;0;2221;1904;5258;3114
29.06.2013 00:00;598;721;1387;1281;949;2072;1651;0;1467;1257;3587;2109
30.06.2013 00:00;688;689;1867;1231;1130;2139;2176;0;1452;1057;3303;1918
01.07.2013 00:00;1123;1318;3070;2637;2268;3240;3964;0;3410;2727;6766;4542
02.07.2013 00:00;1302;1558;3818;3072;2583;4048;5122;1020;3858;3343;8015;5250
03.07.2013 00:00;1138;1282;2735;2332;2051;3511;3597;2590;3128;2597;6466;4305
04.07.2013 00:00;1271;1452;3050;2725;2333;3672;4118;1951;3469;2948;7289;4544
05.07.2013 00:00;1094;1329;3421;2713;2367;2300;4211;1735;3257;2786;7189;4480
06.07.2013 00:00;969;1159;4220;2461;1888;2801;4875;1576;2662;2028;6347;4050
07.07.2013 00:00;905;1049;4832;1944;1741;3009;5797;1791;2196;1437;5460;3071
08.07.2013 00:00;1219;1502;4615;3008;2697;1660;5774;2315;4036;2977;7942;4885
09.07.2013 00:00;1340;1526;5099;3142;2736;804;6252;2737;4045;3110;8386;5212
10.07.2013 00:00;1132;1348;3285;2492;2219;1014;4036;2741;3322;2822;8356;4373
11.07.2013 00:00;1281;1549;4061;2797;2488;1063;4827;2593;3871;3181;9899;5246
12.07.2013 00:00;1155;1508;4050;2560;2216;807;4632;1189;3711;3038;9251;4955
13.07.2013 00:00;994;1142;4146;2071;1650;848;3700;1296;2598;2252;8147;3873
14.07.2013 00:00;671;736;2701;1282;1165;646;2791;1523;1825;1230;6284;2699
15.07.2013 00:00;1121;1358;4021;2791;2435;2230;5060;1724;3619;3016;7472;4696
16.07.2013 00:00;1167;1346;4314;2902;2557;4082;5548;2012;3882;3008;7954;4891
17.07.2013 00:00;1220;1379;4961;2993;2614;4652;5965;1976;3863;3019;7993;5049
18.07.2013 00:00;1281;1480;4884;2964;2712;4805;6070;1816;3835;3010;8065;5066
19.07.2013 00:00;1141;1262;3728;2819;2330;4048;4373;1207;3423;2767;6964;4410
20.07.2013 00:00;956;1122;4111;2276;1866;4012;4739;829;2645;1945;5795;3554
21.07.2013 00:00;899;989;5330;1719;1625;3687;5925;1593;1986;1340;4958;2653
22.07.2013 00:00;1218;1394;5451;2863;2489;4849;6388;1665;3613;2865;7707;4757
23.07.2013 00:00;1290;1513;5529;2881;2532;5125;6674;2123;3565;2916;8075;4954
24.07.2013 00:00;1079;1182;3770;2537;2317;4078;4754;1887;3433;2694;6952;4364
25.07.2013 00:00;1172;1370;4228;2852;2506;4586;5521;1890;3658;2847;7700;4695
26.07.2013 00:00;993;1137;3174;2293;2016;3710;3863;1914;3053;2307;6107;3759
27.07.2013 00:00;891;988;3536;2028;1620;5034;3960;1962;2305;1855;6207;3746
28.07.2013 00:00;794;880;3604;1547;1301;4130;3369;2810;1814;1090;4621;2460
29.07.2013 00:00;1117;1317;3530;2495;2276;3742;4558;2472;3461;2755;6816;4540
30.07.2013 00:00;1268;1384;3457;2714;2345;3867;4479;2651;3402;2822;7319;4599
31.07.2013 00:00;1153;1318;3101;2596;2261;3692;4096;2362;3278;2670;7250;4535
01.08.2013 00:00;1321;1584;4673;3082;2694;4957;5925;2009;4123;3177;8372;5091
02.08.2013 00:00;1215;1461;5408;2798;2448;5230;6676;1758;3363;2878;8220;4913
03.08.2013 00:00;1011;1098;3571;2134;1767;3955;3807;1295;2675;1940;5812;3472
04.08.2013 00:00;894;1090;4990;1867;1677;4085;5119;1166;2028;1508;5224;2868
05.08.2013 00:00;1431;1693;5399;3228;2869;5089;6479;1555;4446;3442;8598;5568
06.08.2013 00:00;1476;1762;4659;3231;2767;4963;5557;2250;4369;3593;8564;5619
07.08.2013 00:00;1332;1482;3298;2604;2333;3940;4360;2417;3735;2979;7348;4758
08.08.2013 00:00;1271;1432;3322;2564;2309;4350;4142;2706;3491;2833;7310;4503
09.08.2013 00:00;1425;1684;4830;3306;2850;5129;5626;2619;4305;3605;8866;5502
10.08.2013 00:00;1123;1244;3061;2251;1740;3872;3372;2025;2671;2164;5908;3594
11.08.2013 00:00;994;1031;2796;1638;1549;3154;3221;2513;1936;1463;4564;2588
12.08.2013 00:00;1385;1656;3815;2898;2758;4129;4876;2332;4209;3459;8080;5272
13.08.2013 00:00;1300;1497;3452;2711;2374;4385;4478;2599;3946;3140;7908;4883
14.08.2013 00:00;1378;1588;3865;2894;2721;4533;4966;2461;4129;3375;8676;5195
15.08.2013 00:00;1491;1717;3998;3015;2827;4838;5161;1867;4142;3445;8858;5544
16.08.2013 00:00;1531;1735;4631;3232;2848;5116;5750;2333;4260;3537;8981;5390
17.08.2013 00:00;1147;1350;3358;2095;1748;5358;3353;1488;2548;1990;6375;3512
18.08.2013 00:00;687;721;1614;1156;1252;2306;1926;1860;1448;929;3274;1881
19.08.2013 00:00;985;1074;2464;1931;1764;3112;3368;1758;2610;2213;5759;3444
20.08.2013 00:00;1574;1683;3956;3022;2706;4432;5258;1639;4133;3518;8608;5402
21.08.2013 00:00;1629;1819;4721;3073;3056;4931;5877;1704;4584;3815;9300;5802
22.08.2013 00:00;1695;1878;4727;3342;3143;5171;6125;2082;4474;3799;9227;6032
23.08.2013 00:00;1516;1781;4347;3065;2798;5020;5208;2332;4135;3512;8752;5620
24.08.2013 00:00;1318;1446;3859;2526;2123;4414;4459;1882;3421;2877;6986;4518
25.08.2013 00:00;1007;1118;3678;1637;1699;3502;4328;2414;2250;1542;4808;3020
26.08.2013 00:00;1529;1834;4652;3307;2997;4858;5927;2536;4492;3807;9010;5604
27.08.2013 00:00;1569;1771;4492;3410;2960;4733;5611;2680;4573;3721;9108;5588
28.08.2013 00:00;1595;1831;5018;3306;3126;5197;6212;2184;4620;3875;9300;5998
29.08.2013 00:00;1600;1820;4575;3455;3106;5056;5787;1864;4551;3824;9238;5570
30.08.2013 00:00;1476;1694;3984;3161;2811;4620;5002;2382;4109;3544;8679;5364
31.08.2013 00:00;889;992;1900;1856;1491;3214;2576;2189;2335;1900;5270;3056
01.09.2013 00:00;766;835;1647;1287;1246;2371;2172;2347;1681;1199;3780;2271
02.09.2013 00:00;1046;1202;2314;2207;2066;3228;3358;2427;2835;2343;6082;3777
03.09.2013 00:00;1445;1842;3471;2834;2602;4183;4698;2261;4013;3366;8031;5086
04.09.2013 00:00;1551;1697;4036;2977;2734;4579;5178;2188;4390;3717;8668;5493
05.09.2013 00:00;1650;1864;5051;3595;3259;5375;6328;2547;4560;3865;9009;5904
06.09.2013 00:00;1586;1900;5194;3355;2863;5297;6572;2524;4255;3598;9508;5663
07.09.2013 00:00;1205;1427;3055;1965;1630;4609;3273;2421;2565;2161;6317;3375
08.09.2013 00:00;905;798;1394;999;1039;2273;1532;1569;1594;1210;3378;1874
09.09.2013 00:00;1113;1299;2458;2115;1945;3239;3586;1681;2765;2294;6346;3783
10.09.2013 00:00;943;1056;1728;1588;1449;2544;2514;1816;2095;1725;4754;2810
11.09.2013 00:00;1054;1180;2226;1989;1800;3325;3295;2491;2780;2320;6036;3597
12.09.2013 00:00;1417;1579;3134;2719;2529;4274;4307;2915;3732;3056;7830;4871
13.09.2013 00:00;1429;1609;3376;2542;2445;4221;4674;2776;3584;2975;7967;4977
14.09.2013 00:00;747;794;1243;984;862;2455;1322;2411;1265;918;3654;1883
15.09.2013 00:00;688;791;1920;1331;1179;3177;3106;2790;1646;1276;5535;3138
16.09.2013 00:00;1195;1376;2533;2350;2138;3190;3661;2607;3256;2596;6515;4244
17.09.2013 00:00;1293;1401;2843;2467;2324;3635;3944;2707;3608;2839;7359;4366
18.09.2013 00:00;1347;1480;2814;2454;2300;3505;3892;2695;3479;2815;7206;4178
19.09.2013 00:00;1325;1481;2855;2545;2444;3848;4100;2736;3440;2783;7229;4215
20.09.2013 00:00;1253;1393;2653;2393;2151;3871;3808;2573;3236;2692;7065;4269
21.09.2013 00:00;1011;1107;2306;2047;1531;3637;2741;1633;2338;1927;5455;3383
22.09.2013 00:00;765;788;1873;1318;1351;2837;2500;1509;1872;1303;4262;2387
23.09.2013 00:00;1256;1380;3061;2627;2523;3734;4178;1434;3672;3020;7411;4723
24.09.2013 00:00;1337;1486;3187;2704;2536;3990;4230;1791;3751;3053;7614;4696
25.09.2013 00:00;1233;1339;2721;2453;2238;3666;3772;2262;3288;2652;7265;4414
26.09.2013 00:00;1251;1460;2965;2697;2460;3937;3947;2711;2589;2914;7345;4510
27.09.2013 00:00;1320;1509;3331;2768;2417;4020;4480;2962;2895;2916;7516;4766
28.09.2013 00:00;1008;1007;2381;2021;1609;3615;2866;2308;2146;1963;5383;3275
29.09.2013 00:00;1066;1232;2672;1307;1265;4110;2651;1243;1462;1249;4886;2469
30.09.2013 00:00;1308;1423;2899;2736;2540;3826;4402;1671;3155;2927;7545;4935
01.10.2013 00:00;1358;1545;3097;2755;2525;4087;4409;1304;3300;3172;7638;4963
02.10.2013 00:00;1388;1526;2763;2538;2384;3633;4033;1273;3166;3048;7146;4686
03.10.2013 00:00;812;794;1629;1152;1080;2031;2148;1864;1268;1033;3502;1950
04.10.2013 00:00;865;911;1679;1791;1477;2280;2289;2039;2049;1944;4858;3459
05.10.2013 00:00;783;816;1657;1538;1255;2447;2203;1309;1683;1553;4404;2608
06.10.2013 00:00;640;673;1844;1326;1170;3152;2164;1231;1489;1154;3867;2296
07.10.2013 00:00;1115;1337;2694;2503;2214;3296;3621;1448;2643;2646;6662;4247
08.10.2013 00:00;1170;1370;2477;2450;2189;3424;3706;1742;2544;2582;6859;4074
09.10.2013 00:00;970;1042;1750;2109;1836;2895;2841;1624;2318;2089;5906;2912
10.10.2013 00:00;1082;1190;2196;2391;2083;3328;3222;1969;2909;2463;6421;3486
11.10.2013 00:00;740;798;1150;1406;1375;2162;1959;1646;1825;1464;4284;2117
12.10.2013 00:00;498;522;809;887;736;1455;1095;1447;971;798;2788;1371
13.10.2013 00:00;581;609;1640;913;850;2056;1960;1369;1230;954;3166;1390
14.10.2013 00:00;1117;1267;2417;2319;2095;3137;3528;1646;3119;2634;6341;3797
15.10.2013 00:00;1132;1193;1921;2040;1945;3070;3043;1976;2585;2167;6013;3568
16.10.2013 00:00;1151;1177;2196;2180;2037;3236;3055;1621;2928;2540;6313;3739
17.10.2013 00:00;967;1113;1660;1905;1766;2730;2655;1693;2593;2122;5492;3468
18.10.2013 00:00;1088;1214;1909;2170;1867;3094;2918;2109;2879;2621;6097;3776
19.10.2013 00:00;1029;1188;1794;1554;1341;3383;2113;1767;2227;1765;5047;2615
20.10.2013 00:00;750;839;1734;1157;1204;2269;2313;2120;1869;1255;3910;2157
21.10.2013 00:00;1336;1572;2772;2628;2504;3723;4041;1819;3546;3069;7545;4597
22.10.2013 00:00;1572;1774;3919;3069;2915;4349;5216;2017;4212;3697;8858;5401
23.10.2013 00:00;1388;1559;2818;2758;2558;3844;4158;1846;3927;3288;7869;4976
24.10.2013 00:00;1615;1743;3312;3006;2739;4137;4557;1624;4121;3564;8556;5214
25.10.2013 00:00;1303;1470;2269;2515;2263;3520;3553;1311;3552;3030;7107;4326
26.10.2013 00:00;1085;1274;1832;1595;1815;3287;2894;1111;2908;2448;5705;3297
27.10.2013 00:00;666;776;970;990;996;1826;1395;1455;1560;1040;3058;1851
28.10.2013 00:00;1016;1112;1438;1584;1523;2074;2183;1438;2215;1874;4729;2872
29.10.2013 00:00;1291;1325;2233;2189;2138;3099;3330;1683;3279;2691;6747;4126
30.10.2013 00:00;1366;1497;2558;2496;2463;3535;3850;1361;3742;3142;7291;4500
31.10.2013 00:00;1442;1569;2621;2522;2530;3707;4013;1450;3824;3188;7555;4789
01.11.2013 00:00;1360;1498;2334;2319;2145;3340;3540;1049;3383;2997;6865;4122
02.11.2013 00:00;810;900;1114;1290;1110;2163;1483;638;1950;1522;3866;2348
03.11.2013 00:00;856;971;1351;1056;1029;2688;1679;1292;1646;1173;3960;2110
04.11.2013 00:00;757;869;1258;1256;1199;2188;1915;1411;1693;1376;3737;2299
