date;vacation
2019-07-25;Sommerferien
2019-07-26;Sommerferien
2019-07-27;Sommerferien
2019-07-28;Sommerferien
2019-07-29;Sommerferien
2019-07-30;Sommerferien
2019-07-31;Sommerferien
2019-08-01;Sommerferien
2019-08-02;Sommerferien
2019-08-03;Sommerferien
2019-08-04;Sommerferien
2019-08-05;Sommerferien
2019-08-06;Sommerferien
2019-08-07;Sommerferien
2019-08-08;Sommerferien
2019-08-09;Sommerferien
2019-08-10;Sommerferien
2019-08-11;Sommerferien
2019-08-12;Sommerferien
2019-08-13;Sommerferien
2019-08-14;Sommerferien
2019-10-04;Herbstferien
2019-10-05;Herbstferien
2019-10-06;Herbstferien
2019-10-07;Herbstferien
2019-10-08;Herbstferien
2019-10-09;Herbstferien
2019-10-10;Herbstferien
2019-10-11;Herbstferien
2019-10-12;Herbstferien
2019-10-13;Herbstferien
2019-10-14;Herbstferien
2019-10-15;Herbstferien
2019-10-16;Herbstferien
2019-10-17;Herbstferien
2019-10-18;Herbstferien
2019-12-21;Weihnachtsferien
2019-12-22;Weihnachtsferien
2019-12-23;Weihnachtsferien
2019-12-24;Weihnachtsferien
2019-12-25;Weihnachtsferien
2019-12-26;Weihnachtsferien
2019-12-27;Weihnachtsferien
2019-12-28;Weihnachtsferien
2019-12-29;Weihnachtsferien
2019-12-30;Weihnachtsferien
2019-12-31;Weihnachtsferien
2020-01-01;Weihnachtsferien
2020-01-02;Weihnachtsferien
2020-01-03;Weihnachtsferien
2020-01-04;Weihnachtsferien
2020-01-05;Weihnachtsferien
2020-01-06;Weihnachtsferien
2020-02-03;Winterferien
2020-02-04;Winterferien
2020-03-28;Osterferien
2020-03-29;Osterferien
2020-03-30;Osterferien
2020-03-31;Osterferien
2020-04-01;Osterferien
2020-04-02;Osterferien
2020-04-03;Osterferien
2020-04-04;Osterferien
2020-04-05;Osterferien
2020-04-06;Osterferien
2020-04-07;Osterferien
2020-04-08;Osterferien
2020-04-09;Osterferien
2020-04-10;Osterferien
2020-04-11;Osterferien
2020-04-12;Osterferien
2020-04-13;Osterferien
2020-04-14;Osterferien
2020-05-22;Pfingstferien
2020-06-02;Pfingstferien
2020-07-16;Sommerferien
2020-07-17;Sommerferien
2020-07-18;Sommerferien
2020-07-19;Sommerferien
2020-07-20;Sommerferien
2020-07-21;Sommerferien
2020-07-22;Sommerferien
2020-07-23;Sommerferien
2020-07-24;Sommerferien
2020-07-25;Sommerferien
2020-07-26;Sommerferien
2020-07-27;Sommerferien
2020-07-28;Sommerferien
2020-07-29;Sommerferien
2020-07-30;Sommerferien
2020-07-31;Sommerferien
2020-08-01;Sommerferien
2020-08-02;Sommerferien
2020-08-03;Sommerferien
2020-08-04;Sommerferien
2020-08-05;Sommerferien
2020-08-06;Sommerferien
2020-08-07;Sommerferien
2020-08-08;Sommerferien
2020-08-09;Sommerferien
2020-08-10;Sommerferien
2020-08-11;Sommerferien
2020-08-12;Sommerferien
2020-08-13;Sommerferien
2020-08-14;Sommerferien
2020-08-15;Sommerferien
2020-08-16;Sommerferien
2020-08-17;Sommerferien
2020-08-18;Sommerferien
2020-08-19;Sommerferien
2020-08-20;Sommerferien
2020-08-21;Sommerferien
2020-08-22;Sommerferien
2020-08-23;Sommerferien
2020-08-24;Sommerferien
2020-08-25;Sommerferien
2020-08-26;Sommerferien
2020-10-12;Herbstferien
2020-10-13;Herbstferien
2020-10-14;Herbstferien
2020-10-15;Herbstferien
2020-10-16;Herbstferien
2020-10-17;Herbstferien
2020-10-18;Herbstferien
2020-10-19;Herbstferien
2020-10-20;Herbstferien
2020-10-21;Herbstferien
2020-10-22;Herbstferien
2020-10-23;Herbstferien
2020-10-24;Herbstferien
2020-12-23;Weihnachtsferien
2020-12-24;Weihnachtsferien
2020-12-25;Weihnachtsferien
2020-12-26;Weihnachtsferien
2020-12-27;Weihnachtsferien
2020-12-28;Weihnachtsferien
2020-12-29;Weihnachtsferien
2020-12-30;Weihnachtsferien
2020-12-31;Weihnachtsferien
2021-01-01;Weihnachtsferien
2021-01-02;Weihnachtsferien
2021-01-03;Weihnachtsferien
2021-01-04;Weihnachtsferien
2021-01-05;Weihnachtsferien
2021-01-06;Weihnachtsferien
2021-01-07;Weihnachtsferien
2021-01-08;Weihnachtsferien
2021-02-01;Winterferien
2021-02-02;Winterferien
2021-03-27;Osterferien
2021-03-28;Osterferien
2021-03-29;Osterferien
2021-03-30;Osterferien
2021-03-31;Osterferien
2021-04-01;Osterferien
2021-04-02;Osterferien
2021-04-03;Osterferien
2021-04-04;Osterferien
2021-04-05;Osterferien
2021-04-06;Osterferien
2021-04-07;Osterferien
2021-04-08;Osterferien
2021-04-09;Osterferien
2021-04-10;Osterferien
2021-05-14;Pfingstferien
2021-05-25;Pfingstferien
2021-07-22;Sommerferien
2021-07-23;Sommerferien
2021-07-24;Sommerferien
2021-07-25;Sommerferien
2021-07-26;Sommerferien
2021-07-27;Sommerferien
2021-07-28;Sommerferien
2021-07-29;Sommerferien
2021-07-30;Sommerferien
2021-07-31;Sommerferien
2021-08-01;Sommerferien
2021-08-02;Sommerferien
2021-08-03;Sommerferien
2021-08-04;Sommerferien
2021-08-05;Sommerferien
2021-08-06;Sommerferien
2021-08-07;Sommerferien
2021-08-08;Sommerferien
2021-08-09;Sommerferien
2021-08-10;Sommerferien
2021-08-11;Sommerferien
2021-08-12;Sommerferien
2021-08-13;Sommerferien
2021-08-14;Sommerferien
2021-08-15;Sommerferien
2021-08-16;Sommerferien
2021-08-17;Sommerferien
2021-08-18;Sommerferien
2021-08-19;Sommerferien
2021-08-20;Sommerferien
2021-08-21;Sommerferien
2021-08-22;Sommerferien
2021-08-23;Sommerferien
2021-08-24;Sommerferien
2021-08-25;Sommerferien
2021-08-26;Sommerferien
2021-08-27;Sommerferien
2021-08-28;Sommerferien
2021-08-29;Sommerferien
2021-08-30;Sommerferien
2021-08-31;Sommerferien
2021-09-01;Sommerferien
2021-10-18;Herbstferien
2021-10-19;Herbstferien
2021-10-20;Herbstferien
2021-10-21;Herbstferien
2021-10-22;Herbstferien
2021-10-23;Herbstferien
2021-10-24;Herbstferien
2021-10-25;Herbstferien
2021-10-26;Herbstferien
2021-10-27;Herbstferien
2021-10-28;Herbstferien
2021-10-29;Herbstferien
2021-10-30;Herbstferien
2021-12-23;Weihnachtsferien
2021-12-24;Weihnachtsferien
2021-12-25;Weihnachtsferien
2021-12-26;Weihnachtsferien
2021-12-27;Weihnachtsferien
2021-12-28;Weihnachtsferien
2021-12-29;Weihnachtsferien
2021-12-30;Weihnachtsferien
2021-12-31;Weihnachtsferien
2022-01-01;Weihnachtsferien
2022-01-02;Weihnachtsferien
2022-01-03;Weihnachtsferien
2022-01-04;Weihnachtsferien
2022-01-05;Weihnachtsferien
2022-01-06;Weihnachtsferien
2022-01-07;Weihnachtsferien
2022-01-08;Weihnachtsferien
2022-01-31;Winterferien
2022-02-01;Winterferien
2022-04-04;Osterferien
2022-04-05;Osterferien
2022-04-06;Osterferien
2022-04-07;Osterferien
2022-04-08;Osterferien
2022-04-09;Osterferien
2022-04-10;Osterferien
2022-04-11;Osterferien
2022-04-12;Osterferien
2022-04-13;Osterferien
2022-04-14;Osterferien
2022-04-15;Osterferien
2022-04-16;Osterferien
2022-04-17;Osterferien
2022-04-18;Osterferien
2022-04-19;Osterferien
2022-05-27;Pfingstferien
2022-06-07;Pfingstferien
2022-07-14;Sommerferien
2022-07-15;Sommerferien
2022-07-16;Sommerferien
2022-07-17;Sommerferien
2022-07-18;Sommerferien
2022-07-19;Sommerferien
2022-07-20;Sommerferien
2022-07-21;Sommerferien
2022-07-22;Sommerferien
2022-07-23;Sommerferien
2022-07-24;Sommerferien
2022-07-25;Sommerferien
2022-07-26;Sommerferien
2022-07-27;Sommerferien
2022-07-28;Sommerferien
2022-07-29;Sommerferien
2022-07-30;Sommerferien
2022-07-31;Sommerferien
2022-08-01;Sommerferien
2022-08-02;Sommerferien
2022-08-03;Sommerferien
2022-08-04;Sommerferien
2022-08-05;Sommerferien
2022-08-06;Sommerferien
2022-08-07;Sommerferien
2022-08-08;Sommerferien
2022-08-09;Sommerferien
2022-08-10;Sommerferien
2022-08-11;Sommerferien
2022-08-12;Sommerferien
2022-08-13;Sommerferien
2022-08-14;Sommerferien
2022-08-15;Sommerferien
2022-08-16;Sommerferien
2022-08-17;Sommerferien
2022-08-18;Sommerferien
2022-08-19;Sommerferien
2022-08-20;Sommerferien
2022-08-21;Sommerferien
2022-08-22;Sommerferien
2022-08-23;Sommerferien
2022-08-24;Sommerferien
2022-10-17;Herbstferien
2022-10-18;Herbstferien
2022-10-19;Herbstferien
2022-10-20;Herbstferien
2022-10-21;Herbstferien
2022-10-22;Herbstferien
2022-10-23;Herbstferien
2022-10-24;Herbstferien
2022-10-25;Herbstferien
2022-10-26;Herbstferien
2022-10-27;Herbstferien
2022-10-28;Herbstferien
2022-10-29;Herbstferien
2022-12-23;Weihnachtsferien
2022-12-24;Weihnachtsferien
2022-12-25;Weihnachtsferien
2022-12-26;Weihnachtsferien
2022-12-27;Weihnachtsferien
2022-12-28;Weihnachtsferien
2022-12-29;Weihnachtsferien
2022-12-30;Weihnachtsferien
2022-12-31;Weihnachtsferien
